loadingOrder,carrierName,timestamp,longitude,latitude,vesselMMSI,speed,direction,TRANSPORT_TRACE,start_port,end_port,start_lon,start_lat,end_lon,end_lat,geo_bin,tmax,label,speed_bin,direction_bin,end_geo_bin,lon_diff,lat_diff,lon_diff_bin,lat_diff_bin,lon_diff_start,lat_diff_start,lon_diff_start_bin,lat_diff_start_bin,dis_diff_start,dis_diff_start_bin,lon_diff_end,lat_diff_end,lon_diff_end_bin,lat_diff_end_bin,dis_diff_end,dis_diff_end_bin,start_year,start_month,start_weekofyear,start_dayofweek,start_hour,is_covids
AA191175561416,OIEQNT,2019-01-29 15:51:14+00:00,114.424042,22.503205,Y7540547327,25.0,137.3,CNYTN-MXZLO,771.0,63.0,114.275347,22.5777,-104.305571,19.085960999999998,649897,2019-02-23 15:51:55+00:00,600.0113888888889,5.0,27.0,628862,218.58091800000003,3.4917390000000026,437.0,6.0,0.14869500000000355,0.07449499999999888,0.0,0.0,17.37,0.0,218.729613,3.417244000000004,437.0,6.0,13763.21,275.0,2019,1,5,1,15,0
AA191175561416,OIEQNT,2019-01-29 16:28:05+00:00,114.489373,22.39287,Y7540547327,32.0,155.2,CNYTN-MXZLO,771.0,63.0,114.275347,22.5777,-104.305571,19.085960999999998,648457,2019-02-23 15:51:55+00:00,599.3972222222222,6.0,31.0,628862,218.58091800000003,3.4917390000000026,437.0,6.0,0.21402600000000405,0.1848300000000016,0.0,0.0,30.1,0.0,218.794944,3.306909000000001,437.0,6.0,13767.05,275.0,2019,1,5,1,16,0
AA191175561416,OIEQNT,2019-01-29 17:13:19+00:00,114.689957,22.252178,Y7540547327,35.0,124.6,CNYTN-MXZLO,771.0,63.0,114.275347,22.5777,-104.305571,19.085960999999998,648458,2019-02-23 15:51:55+00:00,598.6433333333333,7.0,24.0,628862,218.58091800000003,3.4917390000000026,437.0,6.0,0.4146100000000104,0.3255219999999994,0.0,0.0,55.92,1.0,218.995528,3.166217000000003,437.0,6.0,13763.27,275.0,2019,1,5,1,17,0
AA191175561416,OIEQNT,2019-01-29 17:23:20+00:00,114.748442,22.21612,Y7540547327,34.0,123.3,CNYTN-MXZLO,771.0,63.0,114.275347,22.5777,-104.305571,19.085960999999998,647018,2019-02-23 15:51:55+00:00,598.4763888888889,6.0,24.0,628862,218.58091800000003,3.4917390000000026,437.0,6.0,0.4730950000000007,0.36158,0.0,0.0,63.1,1.0,219.054013,3.1301590000000026,438.0,6.0,13761.76,275.0,2019,1,5,1,17,0
AA191175561416,OIEQNT,2019-01-29 18:10:07+00:00,114.95673700000002,22.087467,Y7540547327,35.0,116.3,CNYTN-MXZLO,771.0,63.0,114.275347,22.5777,-104.305571,19.085960999999998,647019,2019-02-23 15:51:55+00:00,597.6966666666667,7.0,23.0,628862,218.58091800000003,3.4917390000000026,437.0,6.0,0.6813900000000217,0.4902329999999999,1.0,0.0,88.79,1.0,219.26230800000002,3.0015060000000027,438.0,6.0,13756.33,275.0,2019,1,5,1,18,0
AA191175561416,OIEQNT,2019-01-29 18:34:06+00:00,115.080242,22.044757,Y7540547327,34.0,85.7,CNYTN-MXZLO,771.0,63.0,114.275347,22.5777,-104.305571,19.085960999999998,647020,2019-02-23 15:51:55+00:00,597.2969444444443,6.0,17.0,628862,218.58091800000003,3.4917390000000026,437.0,6.0,0.8048950000000019,0.5329429999999995,1.0,1.0,101.82,2.0,219.38581299999998,2.958796000000003,438.0,5.0,13750.47,275.0,2019,1,5,1,18,0
AA191175561416,OIEQNT,2019-01-29 19:33:48+00:00,115.411857,22.077823,Y7540547327,34.0,85.0,CNYTN-MXZLO,771.0,63.0,114.275347,22.5777,-104.305571,19.085960999999998,647021,2019-02-23 15:51:55+00:00,596.3019444444443,6.0,17.0,628862,218.58091800000003,3.4917390000000026,437.0,6.0,1.1365100000000012,0.4998770000000015,2.0,0.0,129.44,2.0,219.71742799999998,2.991862000000001,439.0,5.0,13723.25,274.0,2019,1,5,1,19,0
AA191175561416,OIEQNT,2019-01-29 20:28:00+00:00,115.711802,22.096283,Y7540547327,34.0,85.4,CNYTN-MXZLO,771.0,63.0,114.275347,22.5777,-104.305571,19.085960999999998,647022,2019-02-23 15:51:55+00:00,595.3986111111111,6.0,17.0,628862,218.58091800000003,3.4917390000000026,437.0,6.0,1.4364550000000094,0.4814170000000004,2.0,0.0,157.14,3.0,220.017373,3.0103220000000017,440.0,6.0,13699.44,273.0,2019,1,5,1,20,0
AA191175561416,OIEQNT,2019-01-29 20:58:24+00:00,115.879635,22.10737300000001,Y7540547327,34.0,86.6,CNYTN-MXZLO,771.0,63.0,114.275347,22.5777,-104.305571,19.085960999999998,647023,2019-02-23 15:51:55+00:00,594.8919444444442,6.0,17.0,628862,218.58091800000003,3.4917390000000026,437.0,6.0,1.6042879999999968,0.4703269999999904,3.0,0.0,173.09,3.0,220.185206,3.021412000000012,440.0,6.0,13686.02,273.0,2019,1,5,1,20,0
AA191175561416,OIEQNT,2019-01-29 22:00:49+00:00,116.226522,22.132452,Y7540547327,34.0,84.1,CNYTN-MXZLO,771.0,63.0,114.275347,22.5777,-104.305571,19.085960999999998,647024,2019-02-23 15:51:55+00:00,593.8516666666667,6.0,16.0,628862,218.58091800000003,3.4917390000000026,437.0,6.0,1.9511750000000063,0.4452479999999994,3.0,0.0,206.67,4.0,220.532093,3.046491000000003,441.0,6.0,13658.05,273.0,2019,1,5,1,22,0
