TRANSPORT_TRACE,start_port,end_port,trace_Dir_mean,trace_Dir_max,trace_Dir_min,trace_Dir_median,trace_Dir_std,trace_aver_speed_mean,trace_aver_speed_max,trace_aver_speed_min,trace_aver_speed_median,trace_aver_speed_std,trace_dis_mean,trace_dis_max,trace_dis_min,trace_dis_median,trace_dis_std,trace_start_anchor_time_mean,trace_start_anchor_time_max,trace_start_anchor_time_min,trace_start_anchor_time_median,trace_start_anchor_time_std,trace_end_anchor_time_mean,trace_end_anchor_time_max,trace_end_anchor_time_min,trace_end_anchor_time_median,trace_end_anchor_time_std,trace_middle_anchor_time_mean,trace_middle_anchor_time_max,trace_middle_anchor_time_min,trace_middle_anchor_time_median,trace_middle_anchor_time_std,trace_anchor_time_mean,trace_anchor_time_max,trace_anchor_time_min,trace_anchor_time_median,trace_anchor_time_std,trace_label_mean,trace_label_max,trace_label_min,trace_label_median,trace_label_std
AEJEA-CIABJ-FALADIE,642.0,316.0,228.10245189922517,230.9645214521452,225.5241274658574,228.46427184466015,2.5176093989204977,17.32825916976611,18.40822457139329,15.565482745473895,18.278060918744774,1.3746396476355187,16745.873999999996,17141.12,15364.82999999999,17072.110000000004,772.5716808361589,5.9893888888888895,14.39388888888889,3.7233333333333336,3.9569444444444435,4.701644972510246,19.4835,23.53166666666667,4.485833333333334,22.953611111111112,8.389282883959675,128.78694444444443,148.6025,67.2836111111111,144.63916666666663,34.840729916451394,134.77633333333333,152.32583333333332,81.6775,148.5961111111111,30.182425035671844,970.0233333333333,1097.2483333333332,931.1663888888887,934.0219444444444,71.68696722061912
AEJEA-HKHKG,642.0,771.0,119.57738095238096,119.57738095238096,119.57738095238096,119.57738095238096,0.0,25.19812989870285,25.19812989870285,25.19812989870285,25.19812989870285,0.0,9162.460000000003,9162.460000000003,9162.460000000003,9162.460000000003,0.0,3.7677777777777783,3.7677777777777783,3.7677777777777783,3.7677777777777783,0.0,0.10527777777777778,0.10527777777777778,0.10527777777777778,0.10527777777777778,0.0,13.026388888888894,13.026388888888894,13.026388888888894,13.026388888888894,0.0,16.79416666666667,16.79416666666667,16.79416666666667,16.79416666666667,0.0,363.61666666666673,363.61666666666673,363.61666666666673,363.61666666666673,0.0
AEJEA-MAPTM-CIABJ,642.0,316.0,225.50294117647056,225.50294117647056,225.50294117647056,225.50294117647056,0.0,17.697524582643204,17.697524582643204,17.697524582643204,17.697524582643204,0.0,16995.1,16995.1,16995.1,16995.1,0.0,7.347222222222222,7.347222222222222,7.347222222222222,7.347222222222222,0.0,0.11944444444444445,0.11944444444444445,0.11944444444444445,0.11944444444444445,0.0,157.6261111111111,157.6261111111111,157.6261111111111,157.6261111111111,0.0,164.97333333333333,164.97333333333333,164.97333333333333,164.97333333333333,0.0,960.3094444444445,960.3094444444445,960.3094444444445,960.3094444444445,0.0
AEJEA-ZADUR-MBABANE,642.0,529.0,199.83024691358025,199.83024691358025,199.83024691358025,199.83024691358025,0.0,17.014723978065923,17.014723978065923,17.014723978065923,17.014723978065923,0.0,9537.059999999998,9537.059999999998,9537.059999999998,9537.059999999998,0.0,9.649722222222222,9.649722222222222,9.649722222222222,9.649722222222222,0.0,101.37305555555555,101.37305555555555,101.37305555555555,101.37305555555555,0.0,16.39944444444445,16.39944444444445,16.39944444444445,16.39944444444445,0.0,26.049166666666668,26.049166666666668,26.049166666666668,26.049166666666668,0.0,560.5180555555555,560.5180555555555,560.5180555555555,560.5180555555555,0.0
ARBUE-UYMVD-BRPNG-BRSSZ-SGSIN-HKHKG,260.0,771.0,75.50474293016784,77.73350730688934,73.56153061224491,75.21919087136929,2.1005957176184884,21.297651114705477,22.354101468148883,20.68396644752048,20.854885428447066,0.9188954437139569,21657.52333333334,21785.610000000004,21553.71000000001,21633.25000000001,117.84013973741106,7.871018518518518,9.785277777777775,4.118888888888889,9.708888888888888,3.2496640416733626,6.823703703703704,18.064444444444447,0.31916666666666665,2.0875,9.774837082778209,197.41092592592597,234.3555555555556,177.00944444444443,180.86777777777783,32.053095449280086,205.28194444444443,244.14083333333332,181.12833333333333,190.57666666666668,33.9827556998208,1018.1436111111111,1044.628611111111,967.7530555555555,1042.0491666666667,43.658555293420385
BHBAH-AEJEA-CNHKG,633.0,771.0,127.03441992362983,128.54056603773586,125.5282738095238,127.03441992362983,2.130012261484284,14.82975078924179,16.100364784009773,13.559136794473808,14.82975078924179,1.7969195439419379,14950.195,15032.450000000008,14867.93999999999,14950.195,116.32613657301131,4.512083333333334,4.695000000000001,4.329166666666667,4.512083333333334,0.2586832307840795,0.09930555555555558,0.19861111111111115,0.0,0.09930555555555558,0.14043926348566155,97.50402777777776,99.36444444444444,95.64361111111108,97.50402777777776,2.6310264816649642,102.01611111111112,103.69361111111112,100.33861111111109,102.01611111111112,2.372343250880885,1016.0559722222223,1108.6583333333333,923.4536111111113,1016.0559722222223,130.95951499110407
BHBAH-AEJEA-SGSIN-CNHKG,633.0,771.0,102.29029535864977,102.29029535864977,102.29029535864977,102.29029535864977,0.0,17.65847654541363,17.65847654541363,17.65847654541363,17.65847654541363,0.0,9700.12,9700.12,9700.12,9700.12,0.0,4.801666666666667,4.801666666666667,4.801666666666667,4.801666666666667,0.0,4.987777777777778,4.987777777777778,4.987777777777778,4.987777777777778,0.0,12.750000000000005,12.750000000000005,12.750000000000005,12.750000000000005,0.0,17.55166666666667,17.55166666666667,17.55166666666667,17.55166666666667,0.0,549.3180555555557,549.3180555555557,549.3180555555557,549.3180555555557,0.0
BHBAH-AEJEA-SKBUS-CNHKG,633.0,771.0,127.94430992736078,127.94430992736078,127.94430992736078,127.94430992736078,0.0,14.413584261811067,14.413584261811067,14.413584261811067,14.413584261811067,0.0,15881.800000000017,15881.800000000017,15881.800000000017,15881.800000000017,0.0,4.814722222222224,4.814722222222224,4.814722222222224,4.814722222222224,0.0,0.1052777777777778,0.1052777777777778,0.1052777777777778,0.1052777777777778,0.0,73.0175,73.0175,73.0175,73.0175,0.0,77.83222222222223,77.83222222222223,77.83222222222223,77.83222222222223,0.0,1101.8633333333332,1101.8633333333332,1101.8633333333332,1101.8633333333332,0.0
BRSSZ-CNSHK,279.0,771.0,90.32626641651035,90.32626641651035,90.32626641651035,90.32626641651035,0.0,22.866813528379755,22.866813528379755,22.866813528379755,22.866813528379755,0.0,23819.679999999986,23819.679999999986,23819.679999999986,23819.679999999986,0.0,10.845277777777774,10.845277777777774,10.845277777777774,10.845277777777774,0.0,0.1947222222222222,0.1947222222222222,0.1947222222222222,0.1947222222222222,0.0,209.40777777777782,209.40777777777782,209.40777777777782,209.40777777777782,0.0,220.25305555555562,220.25305555555562,220.25305555555562,220.25305555555562,0.0,1041.6702777777778,1041.6702777777778,1041.6702777777778,1041.6702777777778,0.0
BRSSZ-HKHKG,279.0,771.0,79.66177403957433,88.28221574344023,72.64884004884007,79.26898805617535,3.4221165302138727,24.946340295883637,28.81716326134593,17.821630084420573,26.14016533104079,3.387631409556301,20043.834545454552,24189.15000000001,19302.470000000016,19411.590000000004,1410.8489811144577,16.416035353535353,34.2375,2.5980555555555562,11.01944444444444,9.334778942194145,5.031641414141414,41.228888888888896,0.0,0.19833333333333333,10.481707513259082,43.90006313131313,127.62527777777778,0.11638888888888844,33.80416666666666,32.44088677085164,60.31609848484848,145.93972222222226,18.915555555555557,48.412499999999994,32.772663451385895,827.2713257575757,1357.2916666666667,674.2308333333333,739.9019444444443,191.24290346135936
CLIQQ-HKHKG,227.0,771.0,277.3256862411271,286.736525974026,274.79075829383885,275.0596266044341,5.263063614781895,26.696141544731937,29.34456594261168,21.708146042510194,27.833417333714614,3.217649212649598,21507.108,22097.43000000001,20199.049999999992,21844.469999999983,765.2742557541136,4.528111111111111,9.899722222222222,0.4041666666666667,2.8016666666666663,4.318711086369505,1.7798333333333332,4.415277777777777,0.17194444444444448,1.2416666666666667,1.829363954179663,66.37338888888888,111.27166666666666,14.925555555555553,73.02472222222224,34.800236877142765,70.9015,121.17138888888887,23.274166666666666,75.79277777777777,35.35117925056905,813.6410555555555,930.4825,734.6602777777778,784.8288888888889,84.41410585568691
